,인덱스,재단,장학종류,근로장학,기숙사/주거지원,기타장학,대출지원,연수/연구장학,장학금,취업연계/산학장학,선발대상,고등학생,기타/일반,대학생,대학원생,전문대생,중학생,청년,초등학생,선발 인원(명),선발인원규모,장학혜택(만원),장학혜택규모,조회 수
77,5935,해동과학문화재단,장학금,0,0,0,0,0,1,0,대학생,0,0,1,0,0,0,0,0,9,소,1000,대,1
78,5936,경희대학교 국제캠퍼스,장학금,0,0,0,0,0,1,0,대학생,0,0,1,0,0,0,0,0,0,인원미정,0,금액미정,656
79,5937,LG이노텍,취업연계/산학장학,0,0,0,0,0,0,1,대학원생,0,0,0,1,0,0,0,0,0,인원미정,0,금액미정,745
80,5938,농어촌희망재단,장학금,0,0,0,0,0,1,0,대학생,0,0,1,0,0,0,0,0,0,인원미정,250,중,620
81,5939,한국장학재단,기숙사/주거지원,0,1,0,0,0,0,0,"대학생, 전문대생, 대학원생",0,0,1,1,1,0,0,0,195,중,0,금액미정,452
82,5940,소망교회,장학금,0,0,0,0,0,1,0,"대학생, 대학원생",0,0,1,1,0,0,0,0,99,소,400,중,1
83,5941,협성문화재단,장학금,0,0,0,0,0,1,0,대학생,0,0,1,0,0,0,0,0,20,소,0,금액미정,796
84,5942,협성문화재단,장학금,0,0,0,0,0,1,0,대학생,0,0,1,0,0,0,0,0,20,소,0,금액미정,361
85,5943,대한교통학회,장학금,0,0,0,0,0,1,0,대학생,0,0,1,0,0,0,0,0,8,소,0,금액미정,1
86,5944,용복장학회,장학금,0,0,0,0,0,1,0,대학생,0,0,1,0,0,0,0,0,0,인원미정,0,금액미정,1
87,5945,평택시,기숙사/주거지원,0,1,0,0,0,0,0,"대학생, 전문대생",0,0,1,0,1,0,0,0,150,중,0,금액미정,107
88,5946,강화군,기숙사/주거지원,0,1,0,0,0,0,0,"대학생, 전문대생, 대학원생",0,0,1,1,1,0,0,0,187,중,0,금액미정,24
89,5947,수영구장학재단,장학금,0,0,0,0,0,1,0,"중학생, 고등학생, 대학생",1,0,1,0,0,1,0,0,50,소,200,중,240
90,5949,기독교대한감리회,장학금,0,0,0,0,0,1,0,"대학생, 전문대생, 대학원생",0,0,1,1,1,0,0,0,0,인원미정,200,중,999
91,5950,드림스폰,장학금,0,0,0,0,0,1,0,"초등학생, 중학생, 고등학생, 대학생, 전문대생, 대학원생, 청년, 기타/일반",1,1,1,1,1,1,1,1,100,중,100,소,1
92,5951,페퍼저축은행,장학금,0,0,0,0,0,1,0,"대학생, 전문대생",0,0,1,0,1,0,0,0,100,중,250,중,1
93,5952,농어촌희망재단,장학금,0,0,0,0,0,1,0,대학생,0,0,1,0,0,0,0,0,0,인원미정,250,중,189
94,5953,대구문화예술진흥원,기타장학,0,0,1,0,0,0,0,기타/일반,0,1,0,0,0,0,0,0,0,인원미정,100,소,86
95,5954,양천장학회,장학금,0,0,0,0,0,1,0,대학생,0,0,1,0,0,0,0,0,0,인원미정,200,중,364
96,5955,충청남도인재육성재단,기숙사/주거지원,0,1,0,0,0,0,0,"대학생, 전문대생, 대학원생",0,0,1,1,1,0,0,0,280,중,0,금액미정,62
97,5956,포항시장학회,기숙사/주거지원,0,1,0,0,0,0,0,대학생,0,0,1,0,0,0,0,0,149,중,0,금액미정,34
98,5957,종로구장학회,장학금,0,0,0,0,0,1,0,대학생,0,0,1,0,0,0,0,0,100,중,400,중,124
99,5958,국립국제교육원,장학금,0,0,0,0,0,1,0,"대학생, 대학원생",0,0,1,1,0,0,0,0,0,인원미정,0,금액미정,149
100,5959,삼성꿈장학재단,장학금,0,0,0,0,0,1,0,"대학생, 대학원생",0,0,1,1,0,0,0,0,0,인원미정,500,대,118
